username,followers,following,public_repos,public_gists,account_age_days,bio,label,burst_score,posting_regularity_score,time_of_day_entropy,active_hours_count,follow_velocity,duplicate_content_ratio,sentiment_variance,profile_completeness_score,mutual_follower_ratio
ethan_games,84.0,27.0,12.0,5.0,4669.0,fitness coach 💪 DM for training plans,1,0.045,0.292,0.883,15.0,2.077,0.195,0.2499,0.714,0.3063
fit_jessica,3.0,28.0,8.0,7.0,2182.0,UX designer @Meta,0,0.058,0.254,0.765,10.0,0.364,0.032,0.3651,0.603,0.1021
nina_art,17.0,20.0,13.0,26.0,966.0,Medical student | future doctor,0,0.064,0.224,0.914,10.0,2.2,0.121,0.6839,0.749,0.2997
chef_marco,67.0,14.0,112.0,21.0,1985.0,software engineer @ Google,0,0.074,0.441,0.932,14.0,1.749,0.199,0.5926,0.771,0.4728
earn_fast_2024,13.0,610.0,2.0,0.0,58.0,make money online → bio link,1,0.707,0.891,0.165,2.0,268.69,0.963,0.0388,0.065,0.0463
daniel_f,17.0,38.0,259.0,14.0,697.0,Architect | sustainable design,0,0.04,0.477,0.87,18.0,2.663,0.182,0.4997,0.982,0.5624
xXx_profit_xXx,7.0,2191.0,1.0,0.0,41.0,promo available 📩,1,0.841,0.922,0.322,4.0,232.8,0.88,0.0781,0.005,0.013
acc29471838,14.0,1809.0,1.0,0.0,36.0,follow for follow back,1,0.787,0.975,0.288,3.0,256.3,0.965,0.063,0.102,0.0496
crypto_king_9999,5.638347315010375,2877.4157441275606,0.0,0.0,0.0,airdrop $ETH daily,1,0.6272987889404896,0.881004315510539,0.24646960373510599,1.0809201885531496,199.59182500977732,0.8156510013611956,0.030047071595058907,0.17822968138036976,0.009709000167609732
user8374629,7.0,982.0,0.0,0.0,49.0,,1,0.72,0.906,0.259,1.0,110.06,0.968,0.0121,0.031,0.0087
bot_account_7,15.0,1837.0,1.0,0.0,48.0,,1,0.879,0.917,0.124,3.0,116.99,0.875,0.0547,0.209,0.0054
airdrop_winner99,19.0,541.0,0.0,0.0,2.0,♻️ repost to win $1000,1,0.802,0.939,0.141,3.0,223.55,0.801,0.0301,0.227,0.0446
ben_codes,415.0,19.0,7.0,3.0,1548.0,High school teacher | making STEM fun,1,0.138,0.419,0.94,16.0,2.546,0.017,0.6395,0.638,0.4886
mark_adventure,42.0,47.0,1.0,26.0,1675.0,software engineer @ Google,0,0.079,0.286,0.8,8.0,2.981,0.189,0.4025,0.616,0.5808
james_hikes,2.0,16.0,5.0,26.0,4033.0,Chef | Recipe creator,0,0.007,0.549,0.784,17.0,2.719,0.01,0.3691,0.957,0.4129
paul_runs,3.0,3.0,15.0,7.0,1104.0,Dance teacher | choreographer,0,0.001,0.132,0.759,16.0,3.63,0.037,0.4958,0.861,0.2309
ben_codes,64.0,15.0,29.0,6.0,1857.0,Chef | Recipe creator,0,0.076,0.151,0.914,8.0,3.243,0.112,0.4586,0.841,0.2203
tom_techie,11.0,28.0,8.0,17.0,2895.0,fitness coach 💪 DM for training plans,0,0.146,0.448,0.978,9.0,0.431,0.116,0.5969,0.878,0.2549
daniel_f,7.0,2.0,20.0,19.0,5000.0,Musician. Coffee addict.,0,0.142,0.432,0.734,16.0,3.707,0.153,0.4239,0.629,0.1161
xXx_profit_xXx,13.0,2101.0,1.0,0.0,45.0,,1,0.617,0.951,0.312,3.0,52.13,0.962,0.0394,0.134,0.0054
earn_fast_2024,15.0,2981.0,0.0,0.0,38.0,airdrop $ETH daily,1,0.664,0.904,0.343,1.0,120.03,0.749,0.0962,0.083,0.0277
mark_adventure,63.80997862891999,0.0,9.92045455654962,0.3977159574861993,2820.9463065468253,High school teacher | making STEM fun,0,0.1187682176617689,0.17745209028421552,0.6309110651321015,14.722178652071854,0.0,0.07259249281750954,0.2712398435324855,0.6048731016764163,0.564759066203354
get_rich_88,7.0,1019.0,1.0,0.0,45.0,official giveaway account,1,0.666,0.931,0.139,1.0,259.03,0.729,0.0855,0.287,0.0024
olivia_draws,33.0,13.0,9.0,8.0,5000.0,photographer | travel 📷,0,0.11,0.527,0.817,11.0,4.107,0.122,0.2625,0.743,0.3944
acc29471838,6.0,1292.0,1.0,0.0,16.0,Click link below 💰,1,0.714,0.897,0.163,1.0,72.55,0.911,0.0149,0.034,0.0471
code_master,10.0,38.0,6.0,18.0,1739.0,Environmental activist,0,0.115,0.445,0.989,14.0,2.403,0.016,0.5628,0.958,0.1363
alex_travel,60.0,19.0,59.0,26.0,365.0,Blogger | Lifestyle & wellness,0,0.126,0.262,0.73,17.0,3.591,0.153,0.6253,0.694,0.1078
mike_2023,2.0,26.0,3.0,26.0,1641.0,Fashion designer | PR welcome,0,0.002,0.154,0.672,18.0,2.103,0.119,0.4592,0.876,0.3742
code_master,121.0,35.0,12.0,19.0,3633.0,Developer | Open source enthusiast,0,0.057,0.234,0.824,16.0,2.691,0.063,0.3198,0.65,0.2954
sophia_teaches,47.0,23.0,21.0,12.0,441.0,Data scientist | ML researcher,0,0.089,0.454,0.658,15.0,1.18,0.068,0.2035,0.931,0.1418
insta_boost_247,2.0,1373.0,2.0,0.0,43.0,♻️ repost to win $1000,1,0.747,0.95,0.118,4.0,297.27,0.969,0.0907,0.109,0.0157
alex_travel,81.0,12.0,78.0,3.0,365.0,Freelance illustrator | art prints available,0,0.051,0.301,0.908,17.0,1.196,0.009,0.6645,0.853,0.3323
sophia_teaches,541.0,17.0,3.0,9.0,5000.0,Freelance illustrator | art prints available,0,0.139,0.277,0.787,13.0,2.354,0.034,0.4171,0.748,0.1628
ava_dances,47.127374645123155,60.20284248807416,4.056218309111491,24.940352197091556,4946.966805112709,Gaming streamer | Twitch partner,0,0.14045538876180946,0.36958105394839,0.9481081517135851,10.26716564952784,2.8438017922352277,0.05641536704887881,0.6284196058000264,0.7497760606965642,0.5404458094741609
ben_codes,591.0,28.0,8.0,9.0,2218.0,photographer | travel 📷,0,0.083,0.536,0.72,15.0,2.105,0.018,0.2191,0.819,0.589
photo_by_anna,5.0,5.0,1.0,6.0,365.0,High school teacher | making STEM fun,0,0.114,0.459,0.853,9.0,0.483,0.148,0.3225,0.896,0.4135
user8374629,8.937486109536806,687.0086764164561,2.616252265675871,0.0,123.85104871760589,DM me to grow your account fast,1,0.7825623223477868,0.8958912959441303,0.12001411880695718,2.4838562531631143,105.74138483421208,0.7267214409204775,0.042638976844896356,0.28684621664105364,0.052582047270413546
insta_boost_247,9.0,2521.0,2.0,0.0,46.0,earn $500/day 👇,1,0.802,0.866,0.22,3.0,76.95,0.946,0.0877,0.275,0.0414
user8374629,9.0,2835.0,1.0,0.0,25.0,,1,0.696,0.954,0.273,3.0,117.48,0.741,0.0325,0.052,0.0397
autoliker_pro,26.27182761285561,339.2683358776068,2.0691173755951153,0.512172843921674,50.52000373926962,make money online → bio link,1,0.6573434713086505,0.91021556019782,0.1993135729289164,3.2271236032276507,188.53853716715096,0.753009915217827,0.026619914095331227,0.015747869790984574,0.059352307346269256
daniel_f,182.0,10.0,11.0,20.0,2049.0,fitness coach 💪 DM for training plans,0,0.113,0.352,0.804,10.0,1.765,0.015,0.382,0.691,0.4633
earn_fast_2024,14.0,1032.0,2.0,0.0,32.0,FREE BTC airdrop → link in bio,1,0.607,0.976,0.248,1.0,124.74,0.9,0.0891,0.188,0.018
mia_cooks,418.3203858139261,43.07411932092282,4.110035882465211,0.0,641.7866552788164,Marketing professional | keynote speaker,0,0.052514471819357506,0.5593986603254344,0.7210641253508272,16.376784812846505,6.0025774529712885,0.16094121623505947,0.5402806753606472,0.8239892441519165,0.41466226495343705
chef_marco,72.02355377210469,0.0,45.630244871760446,0.2089568903962429,1399.0337694997902,Data scientist | ML researcher,0,0.002080171581024708,0.17657624534210803,0.9557454319251494,12.741979397147123,4.9140052514473265,0.08662733928323582,0.6412409412526603,0.7460283882576099,0.5457411453995844
amy_joy,3.0,35.0,42.0,24.0,1140.0,Medical student | future doctor,0,0.092,0.504,0.953,9.0,1.999,0.154,0.2174,0.878,0.4028
zz_promo_zz,4.0,1504.0,1.0,0.0,15.0,,1,0.755,0.869,0.248,1.0,64.79,0.863,0.0728,0.274,0.0488
real_human_01234,16.0,690.0,2.0,0.0,10.0,investment advisor DM me,1,0.92,0.876,0.277,3.0,142.68,0.91,0.0681,0.122,0.04
q7w8e9r0t1y2,0.0,480.4276128078452,1.5913403590687776,0.0,0.0,,1,0.7115568631322585,0.8827931935223666,0.2592983547027579,3.9569803866172384,208.50322759896375,0.9857464036296868,0.08161699271841787,0.07364631255317465,0.0
luke_designs,513.0,18.0,59.0,22.0,1845.0,fitness coach 💪 DM for training plans,0,0.115,0.279,0.675,14.0,2.03,0.018,0.5615,0.69,0.5122
f4f_master_99,10.0,250.0,0.0,0.0,36.0,crypto millionaire | teach you how,1,0.88,0.912,0.193,1.0,248.06,0.833,0.0556,0.211,0.0069
acc29471838,14.0,244.0,1.0,0.0,45.0,follow for follow back,1,0.91,0.971,0.113,1.0,65.84,0.709,0.0131,0.22,0.0193
photo_by_anna,44.0,17.0,45.0,19.0,1023.0,photographer | travel 📷,0,0.084,0.193,0.729,18.0,2.779,0.167,0.3631,0.665,0.3411
mike_2023,0.0,10.355147009301534,3.984080842239014,0.44481172645236733,3868.2323763713175,Entrepreneur | Founder @startup,0,0.12354726356375907,0.4274298295936126,0.8931045549140656,17.20176848595861,10.00953806467492,0.1913365536934631,0.5659675766669803,0.7882298490095128,0.1389093679045039
ben_codes,119.85530391254305,51.10290745472308,7.003627189198124,21.71153518249207,4391.6536005031085,Teacher & lifelong learner,0,0.10037065056960466,0.5015486488848265,0.9508314422794145,16.593712909339533,14.52857854765778,0.1928567533321814,0.4908828552512625,0.8868958732646771,0.1183233871518514
earn_fast_2024,10.0,630.0,1.0,0.0,38.0,make money online → bio link,1,0.896,0.98,0.256,3.0,99.46,0.948,0.0906,0.277,0.0352
ava_dances,2.0,25.0,4.0,5.0,4777.0,Environmental activist,0,0.127,0.395,0.699,8.0,3.294,0.188,0.416,0.8,0.4571
ethan_games,3.0,20.0,62.0,2.0,5000.0,Fashion designer | PR welcome,0,0.126,0.298,0.982,16.0,4.898,0.03,0.2702,0.974,0.2565
code_master,3.0,32.0,13.0,24.0,5000.0,Entrepreneur | Founder @startup,0,0.101,0.181,0.728,18.0,3.534,0.039,0.3537,0.784,0.1874
chef_marco,236.0,45.0,12.0,26.0,365.0,Gaming streamer | Twitch partner,0,0.018,0.246,0.707,9.0,2.308,0.013,0.5654,0.673,0.2121
1234567890ab,2.0,2326.0,2.0,0.0,4.0,NFT investor | crypto tips,1,0.942,0.9,0.303,4.0,51.97,0.929,0.0784,0.058,0.0229
luke_designs,42.0,22.0,5.0,5.0,3362.0,Medical student | future doctor,0,0.053,0.436,0.86,13.0,1.916,0.05,0.4432,0.678,0.2658
paul_runs,50.0,27.0,35.0,2.0,2334.0,fitness coach 💪 DM for training plans,0,0.052,0.298,0.701,18.0,4.43,0.096,0.5408,0.799,0.2506
mike_2023,195.0,24.0,21.0,29.0,894.0,software engineer @ Google,0,0.062,0.155,0.765,14.0,2.921,0.17,0.5399,0.656,0.3158
f4f_master_99,5.0,1704.0,1.0,0.0,22.0,DM me to grow your account fast,1,0.855,0.988,0.361,3.0,148.34,0.99,0.0833,0.178,0.0141
nina_art,13.0,8.0,12.0,25.0,1917.0,Artist | Digital creator,0,0.01,0.499,0.795,9.0,3.658,0.039,0.3431,0.964,0.3075
9182736450,3.0,1152.0,2.0,0.0,54.0,official giveaway account,1,0.915,0.888,0.259,1.0,151.4,0.95,0.0258,0.211,0.0193
daniel_f,30.0,34.0,2.0,4.0,1429.0,News journalist @NYT,0,0.01,0.543,0.942,13.0,0.693,0.089,0.3079,0.604,0.5165
crypto_king_9999,1.0,838.0,1.0,0.0,50.0,,1,0.9,0.968,0.154,1.0,244.23,0.747,0.0491,0.264,0.0197
user8374629,24.89330371403031,2126.7920536201996,2.1459735882807456,0.0,47.79613839522372,NFT investor | crypto tips,1,0.7249955769754961,0.9156746413168251,0.33537677301315816,1.018369999576818,216.8067346851615,0.8874082220689915,0.07545530900760844,0.17870104747221258,0.0034959127611456247
paul_runs,205.0,13.0,3.0,12.0,5000.0,Environmental activist,0,0.021,0.385,0.882,16.0,0.608,0.174,0.6859,0.754,0.34
mike_2023,4.0,15.0,5.0,24.0,2080.0,UX designer @Meta,0,0.078,0.523,0.909,18.0,4.357,0.155,0.324,0.996,0.1916
airdrop_winner99,1.0,2987.0,1.0,0.0,28.0,,1,0.652,0.978,0.17,4.0,96.7,0.891,0.0294,0.211,0.0067
noah_films,4.0,36.0,23.0,9.0,1543.0,Data scientist | ML researcher,0,0.075,0.104,0.728,13.0,2.016,0.191,0.3297,0.993,0.2016
bot_account_7,19.0,1635.0,2.0,0.0,32.0,btc eth airdrop free coins,1,0.779,0.902,0.281,4.0,177.57,0.878,0.0813,0.137,0.0054
insta_boost_247,3.0,2696.0,0.0,0.0,58.0,make money online → bio link,1,0.62,0.889,0.366,4.0,235.3,0.942,0.0923,0.002,0.0111
free_follower_bot,8.0,807.0,0.0,0.0,35.0,,1,0.725,0.958,0.177,3.0,175.04,0.902,0.0627,0.016,0.0176
free_follower_bot,14.0,362.0,1.0,0.0,14.0,crypto millionaire | teach you how,1,0.856,0.957,0.182,2.0,97.94,0.857,0.0567,0.237,0.0327
fit_jessica,21.0,11.0,1.0,0.0,1609.0,Developer | Open source enthusiast,0,0.023,0.322,0.951,15.0,3.125,0.164,0.537,0.958,0.4194
9182736450,16.0,1428.0,0.0,0.0,33.0,,1,0.901,0.959,0.251,3.0,225.8,0.814,0.0938,0.163,0.0214
chef_marco,27.0,16.0,157.0,26.0,2557.0,News journalist @NYT,0,0.03,0.111,0.729,16.0,1.128,0.005,0.6798,0.728,0.1868
1234567890ab,2.0,2959.0,0.0,0.0,23.0,btc eth airdrop free coins,1,0.706,0.86,0.393,3.0,298.05,0.848,0.0796,0.234,0.0243
9182736450,3.0,1935.0,0.0,0.0,22.0,btc eth airdrop free coins,1,0.616,0.869,0.165,2.0,190.96,0.85,0.0942,0.094,0.0292
acc29471838,16.0,2015.0,0.0,0.0,29.0,official giveaway account,1,0.792,0.878,0.108,2.0,248.12,0.93,0.0439,0.001,0.0497
zz_promo_zz,16.0,947.0,2.0,0.0,32.0,FREE BTC airdrop → link in bio,1,0.686,0.869,0.18,3.0,103.75,0.988,0.0134,0.207,0.0096
xXx_profit_xXx,19.0,1359.0,2.0,0.0,45.0,,1,0.739,0.93,0.235,4.0,76.42,0.702,0.0101,0.103,0.002
mike_2023,30.0,32.0,32.0,22.0,4004.0,photographer | travel 📷,0,0.091,0.438,0.959,12.0,4.343,0.096,0.5817,0.64,0.4952
tom_techie,213.0,10.0,18.0,21.0,2557.0,Architect | sustainable design,0,0.137,0.167,0.893,13.0,4.801,0.024,0.6155,0.778,0.283
james_hikes,17.0,63.0,16.0,25.0,956.0,Blogger | Lifestyle & wellness,0,0.069,0.415,0.825,16.0,4.378,0.087,0.308,0.831,0.5874
f4f_master_99,3.0,2809.0,0.0,0.0,26.0,NFT investor | crypto tips,1,0.926,0.893,0.15,3.0,204.62,0.916,0.0196,0.077,0.021
airdrop_winner99,17.0,970.0,2.0,0.0,16.0,,1,0.856,0.942,0.364,1.0,270.55,0.767,0.0382,0.231,0.0336
paul_runs,15.0,9.0,7.0,9.0,782.0,Blogger | Lifestyle & wellness,0,0.052,0.498,0.755,18.0,0.474,0.197,0.5003,0.967,0.4912
sophia_teaches,84.0,86.0,14.0,17.0,995.0,mom of 3 | foodie,0,0.141,0.177,0.686,18.0,4.623,0.167,0.434,0.814,0.4506
james_hikes,6.0,9.0,20.0,14.0,3896.0,Musician. Coffee addict.,0,0.122,0.119,0.684,16.0,1.73,0.192,0.2635,0.961,0.3009
tom_techie,7.672307127416688,3.021199382139544,2.7273943211974645,20.236822330358653,2972.531112769419,Wildlife photographer based in Kenya,0,0.0,0.31973963735816757,0.8704179670473791,15.772309976405309,6.42607834004868,0.11823976904790562,0.637919289625602,0.9418195946505331,0.49332146329129056
xXx_profit_xXx,18.0,1022.0,1.0,0.0,51.0,promo available 📩,1,0.796,0.906,0.361,3.0,101.71,0.852,0.0752,0.208,0.0292
ava_dances,657.0,55.0,3.0,22.0,1680.0,Architect | sustainable design,0,0.115,0.44,0.766,8.0,0.946,0.123,0.3867,0.766,0.416
xXx_profit_xXx,14.0,1852.0,1.0,0.0,54.0,crypto signals ✅ 99% win rate,1,0.894,0.911,0.231,2.0,206.4,0.747,0.0753,0.072,0.0265
noah_films,107.0,5.0,34.0,5.0,896.0,Entrepreneur | Founder @startup,0,0.131,0.309,0.848,10.0,1.364,0.057,0.3759,0.744,0.216
autoliker_pro,5.978265208179227,894.1441657970423,0.8553282772364192,0.8546466729239194,53.17194275063707,DM me to grow your account fast,1,0.6117859570812461,0.901299641304217,0.14620942697875788,1.194085522226337,44.09195237089778,0.938821653231137,0.045362121590365234,0.08817480407527857,0.04029894010300022
noah_films,36.0,5.0,66.0,26.0,5000.0,Musician. Coffee addict.,0,0.08,0.151,0.936,8.0,0.934,0.047,0.4856,0.999,0.3882
emma.j,14.145207274269874,62.410221908118274,18.66890352383276,18.563282616790303,2883.8692665192993,Data scientist | ML researcher,0,0.03843984874753084,0.5137878428063817,0.8336173036995351,12.853507950659633,0.0,0.04556370454385372,0.24362369268168999,0.7140215785136083,0.10280912592225822
ava_dances,87.0,8.0,85.0,7.0,633.0,Architect | sustainable design,0,0.017,0.224,0.824,14.0,3.047,0.158,0.4756,0.73,0.3343
luke_designs,159.0,75.0,16.0,15.0,1907.0,Wildlife photographer based in Kenya,0,0.148,0.29,0.793,18.0,1.231,0.032,0.663,0.684,0.5776
1234567890ab,17.0,2941.0,2.0,0.0,8.0,,1,0.739,0.905,0.323,3.0,152.21,0.839,0.0188,0.178,0.0311
photo_by_anna,545.0,31.0,2.0,9.0,4585.0,Chef | Recipe creator,0,0.064,0.156,0.705,18.0,2.538,0.14,0.2102,0.724,0.2422
bot291847362,18.0,2938.0,0.0,0.0,19.0,make money online → bio link,1,0.645,0.982,0.292,2.0,188.25,0.83,0.0567,0.142,0.0307
dev_pete,0.0,81.16646567246697,154.3372765000712,25.98517363219444,4103.291459905576,mom of 3 | foodie,0,0.1118280401218379,0.23680638758183348,0.6843316415120743,9.184702569733115,19.376245143200233,0.10707221594351762,0.4839468869939833,0.9649213649091092,0.4438400438340156
james_hikes,4.0,8.0,22.0,22.0,2062.0,Medical student | future doctor,0,0.024,0.441,0.977,10.0,2.548,0.176,0.3419,0.841,0.49
grace_beauty,16.0,10.0,16.0,8.0,365.0,Marketing professional | keynote speaker,0,0.142,0.346,0.682,13.0,4.196,0.095,0.2766,0.754,0.5541
olivia_draws,58.0,54.0,13.0,10.0,1834.0,Fashion designer | PR welcome,0,0.118,0.318,0.708,9.0,0.752,0.143,0.2345,0.649,0.45
olivia_draws,284.0,65.0,7.0,26.0,2769.0,Dog lover | Hiking | Books,0,0.119,0.217,0.753,10.0,2.073,0.177,0.3984,0.854,0.5302
photo_by_anna,3.0,53.0,8.0,18.0,5000.0,Blogger | Lifestyle & wellness,0,0.019,0.543,0.927,9.0,4.688,0.086,0.4565,0.768,0.2002
free_follower_bot,3.0,489.0,2.0,0.0,23.0,♻️ repost to win $1000,1,0.798,0.887,0.342,3.0,157.83,0.703,0.0194,0.153,0.0324
dev_pete,203.0,40.0,18.0,21.0,1334.0,Freelance illustrator | art prints available,0,0.059,0.492,0.699,9.0,0.727,0.118,0.5383,0.974,0.4875
paul_runs,0.0,37.812153055637154,22.167876129655106,6.974867104155266,742.2509475568929,fitness coach 💪 DM for training plans,0,0.03788482708270463,0.4894732135720765,0.8696367560240615,10.948640334576188,5.278518485185165,0.0985159775860892,0.4795086317963709,0.7573493851105157,0.2751058129992764
mike_2023,12.0,8.0,13.0,19.0,5000.0,Marketing professional | keynote speaker,0,0.095,0.433,0.679,9.0,1.435,0.187,0.3527,0.839,0.571
insta_boost_247,14.0,882.0,0.0,0.0,2.0,,1,0.74,0.94,0.293,2.0,182.25,0.971,0.0726,0.159,0.0292
photo_by_anna,5.455168166883291,71.49274745867335,12.135555568096356,18.60671731801849,2790.782380103557,Medical student | future doctor,0,0.027907809037265544,0.2220570444390568,0.8029444973255099,17.1219219575598,6.528972082173511,0.04656990429286344,0.2377116462938804,0.9169070099230698,0.24539236603821507
autoliker_pro,4.0,2141.0,1.0,0.0,12.0,,1,0.903,0.944,0.269,3.0,133.79,0.779,0.0916,0.155,0.0451
9182736450,18.0,1412.0,0.0,0.0,46.0,,0,0.839,0.884,0.292,1.0,92.58,0.786,0.0374,0.218,0.0283
lisa_writes,1.0,24.0,187.0,23.0,650.0,News journalist @NYT,0,0.103,0.218,0.902,12.0,0.769,0.099,0.2651,0.997,0.4618
real_human_01234,18.0,1688.0,0.0,0.0,22.0,follow for follow back,1,0.845,0.96,0.325,2.0,77.08,0.765,0.0333,0.135,0.0082
ava_dances,9.0,30.0,12.0,25.0,3414.0,Architect | sustainable design,0,0.081,0.237,0.666,17.0,2.47,0.07,0.2838,0.916,0.4312
fit_jessica,23.0,45.0,4.0,10.0,4541.0,Traveler | 50+ countries visited,0,0.05,0.124,0.856,12.0,0.686,0.168,0.2235,0.842,0.1673
tom_techie,4.0,5.0,9.0,15.0,1503.0,photographer | travel 📷,0,0.039,0.352,0.8,18.0,3.691,0.151,0.4653,0.695,0.1247
mike_2023,17.0,38.0,14.0,29.0,4830.0,UX designer @Meta,0,0.119,0.369,0.966,13.0,0.467,0.054,0.3079,0.845,0.2806
sophia_teaches,42.0,10.0,1.0,22.0,4263.0,Data scientist | ML researcher,0,0.085,0.522,0.719,14.0,0.748,0.146,0.2338,0.7,0.1364
airdrop_winner99,17.976715074036015,519.2265036770367,2.1116822806308346,0.0,41.89027159024606,earn $500/day 👇,1,0.7062970397555961,0.934487207751854,0.3461850202556258,3.0666797796909937,176.7021114035001,0.9067426582324319,0.08764034686798677,0.29099721660305655,0.010883811634063231
photo_by_anna,54.0,35.0,16.0,19.0,2279.0,UX designer @Meta,0,0.055,0.131,0.773,15.0,3.003,0.021,0.288,0.886,0.3747
grace_beauty,8.0,9.0,2.0,8.0,1003.0,Medical student | future doctor,0,0.035,0.542,0.963,15.0,3.704,0.037,0.3097,0.96,0.3434
get_rich_88,18.0,2609.0,2.0,0.0,10.0,Click link below 💰,1,0.703,0.889,0.307,3.0,73.18,0.707,0.058,0.228,0.0422
sarah_smith,31.577711198480227,127.62884038922596,227.05282834897088,22.52624768506353,1387.022666823754,software engineer @ Google,0,0.0189916264947577,0.4248327002226073,0.8107734226853022,8.399816949492095,1.7571873983388926,0.16545092079040133,0.2769942113914783,0.8379137044219817,0.5326512212102128
alex_travel,99.13188400890532,52.52614048033397,0.15569135813785184,18.720944236190697,674.5783670496926,Musician. Coffee addict.,0,0.0792549619497877,0.31271008782273557,0.6805949690258597,7.537995469490057,3.579108645701906,0.10255722768644379,0.30315133790745163,0.9284638043878737,0.3385278972333656
a8f7d3k9p2,10.0,2003.0,0.0,0.0,20.0,DM me to grow your account fast,1,0.778,0.953,0.202,2.0,153.19,0.729,0.0825,0.016,0.0079
grace_beauty,10.0,23.0,48.0,4.0,959.0,News journalist @NYT,0,0.011,0.475,0.718,15.0,2.776,0.022,0.5424,0.756,0.5399
zz_promo_zz,31.346513699389803,2487.198579287443,0.6994249898422136,0.3735128968324976,0.0,promo available 📩,1,0.728386162442475,0.9657927758687891,0.20137577069803977,4.103408192985833,190.25216825700053,0.801699927518585,0.0,0.23232125504446746,0.010620274889858703
ava_dances,7.0,47.0,5.0,22.0,4687.0,Architect | sustainable design,1,0.082,0.358,0.736,8.0,4.608,0.002,0.5076,0.73,0.5257
insta_boost_247,2.0,2252.0,0.0,0.0,55.0,investment advisor DM me,1,0.763,0.94,0.388,2.0,273.16,0.714,0.0718,0.273,0.0348
creative_dan,94.0,22.0,10.0,16.0,588.0,Developer | Open source enthusiast,0,0.127,0.354,0.686,15.0,4.362,0.048,0.6723,0.698,0.1027
mia_cooks,12.0,31.0,2.0,4.0,642.0,Data scientist | ML researcher,0,0.142,0.497,0.924,11.0,3.862,0.168,0.5217,0.894,0.5216
sophia_teaches,30.488130823367246,0.0,18.48239630276998,12.241231886247702,5008.801134872425,Chef | Recipe creator,0,0.11146156761359102,0.4711877630386991,0.7880613181859683,11.068944992728852,5.6009972232323095,0.14940273032619145,0.6558008200485451,1.002816022345472,0.5180616725245799
mike_2023,72.0,17.0,11.0,20.0,791.0,Blogger | Lifestyle & wellness,0,0.072,0.455,0.779,14.0,3.07,0.015,0.2365,0.909,0.189
zz_promo_zz,17.548362712156397,1388.6205202640976,0.9106423506607744,0.33705255031370485,0.0,,1,0.6174718791035724,0.8832834517335947,0.12205306569379527,0.7489155500904159,219.06256974355318,0.8512349309622653,0.008553871183725824,0.12115450956148793,0.013744833429509364
a8f7d3k9p2,12.0,228.0,1.0,0.0,43.0,crypto millionaire | teach you how,1,0.718,0.874,0.399,2.0,167.45,0.788,0.0407,0.046,0.0496
f4f_master_99,9.0,969.0,2.0,0.0,4.0,,1,0.878,0.985,0.387,1.0,142.13,0.808,0.0463,0.001,0.0101
olivia_draws,386.0,31.0,15.0,27.0,1426.0,Musician. Coffee addict.,0,0.116,0.538,0.834,14.0,3.022,0.116,0.2221,0.603,0.2621
olivia_draws,68.0,31.0,6.0,29.0,3492.0,Entrepreneur | Founder @startup,0,0.019,0.36,0.809,8.0,1.446,0.074,0.3893,0.717,0.573
bot291847362,11.200144764144898,728.6329997746528,3.0146563492631446,0.1989474679481429,74.3331613624362,,1,0.8583838423724051,0.9712775834639716,0.2458564432146189,1.6431442645798675,157.26897549449052,0.9081345747725034,0.05530341875966526,0.1128128947768773,0.0032570584055980015
bot291847362,8.0,1990.0,0.0,0.0,17.0,btc eth airdrop free coins,1,0.709,0.864,0.253,4.0,249.33,0.979,0.0325,0.243,0.0049
grace_beauty,13.0,15.0,10.0,24.0,3701.0,photographer | travel 📷,0,0.127,0.31,0.938,17.0,3.696,0.043,0.6187,0.809,0.1037
amy_joy,48.0,33.0,302.0,4.0,5000.0,Freelance illustrator | art prints available,0,0.129,0.514,0.954,13.0,0.258,0.113,0.3688,0.772,0.5547
mark_adventure,631.0,9.0,80.0,2.0,365.0,Teacher & lifelong learner,0,0.048,0.423,0.675,12.0,1.713,0.094,0.3298,0.939,0.2263
paul_runs,3.0,26.0,64.0,1.0,1199.0,Architect | sustainable design,0,0.048,0.455,0.665,16.0,4.893,0.051,0.3757,0.957,0.259
lisa_writes,11.0,19.0,33.0,22.0,1740.0,Dog lover | Hiking | Books,0,0.01,0.44,0.744,14.0,0.669,0.149,0.43,0.78,0.3541
autoliker_pro,7.0,2456.0,0.0,0.0,28.0,Click link below 💰,1,0.861,0.859,0.299,4.0,62.65,0.876,0.0137,0.225,0.0233
insta_boost_247,8.0,620.0,1.0,0.0,53.0,FREE gift cards click here,1,0.706,0.93,0.236,1.0,85.04,0.762,0.0206,0.004,0.0124
mike_2023,5.0,23.0,6.0,11.0,1189.0,Yoga instructor | wellness coach,0,0.032,0.282,0.729,12.0,2.365,0.145,0.4875,0.608,0.1066
alex_travel,138.0,19.0,27.0,9.0,1478.0,Entrepreneur | Founder @startup,0,0.036,0.223,0.735,18.0,4.987,0.148,0.4321,0.706,0.3814
airdrop_winner99,18.0,2118.0,2.0,0.0,7.0,earn $500/day 👇,1,0.852,0.919,0.327,1.0,171.54,0.763,0.0334,0.044,0.0248
olivia_draws,6.0,61.0,3.0,18.0,705.0,Blogger | Lifestyle & wellness,0,0.035,0.15,0.786,17.0,4.385,0.031,0.6142,0.783,0.1787
sarah_smith,77.0,14.0,5.0,19.0,689.0,News journalist @NYT,0,0.043,0.119,0.823,17.0,4.934,0.059,0.3753,0.734,0.5815
